Timestamp, Moisture (V), Moisture (Raw ADC)
2020-04-20T00:25:00Z,1.86, 36992.00
2020-04-20T00:55:00Z,1.84, 36672.00
2020-04-20T01:25:00Z,1.86, 36416.00
2020-04-20T01:55:00Z,1.87, 36416.00
2020-04-20T02:25:00Z,1.83, 36672.00
2020-04-20T02:55:00Z,1.84, 36480.00
2020-04-20T03:25:00Z,1.86, 36416.00
2020-04-20T03:55:00Z,1.84, 36992.00
2020-04-20T04:25:00Z,1.83, 36544.00
2020-04-20T04:55:00Z,1.83, 36672.00
2020-04-20T05:25:00Z,1.84, 36672.00
2020-04-20T05:55:00Z,1.82, 36352.00
2020-04-20T06:25:00Z,1.82, 36352.00
2020-04-20T06:55:00Z,1.83, 36096.00
2020-04-20T07:25:00Z,1.82, 36544.00
2020-04-20T07:55:00Z,1.83, 36416.00
2020-04-20T08:25:00Z,1.86, 36544.00
2020-04-20T08:55:00Z,1.82, 36608.00
2020-04-20T09:25:00Z,1.84, 36160.00
2020-04-20T09:55:00Z,1.83, 36480.00
2020-04-20T10:25:00Z,1.83, 36544.00
2020-04-20T10:55:00Z,1.83, 36480.00
2020-04-20T11:25:00Z,1.84, 36544.00
2020-04-20T11:55:00Z,1.83, 36736.00
2020-04-20T12:25:00Z,1.80, 36416.00
2020-04-20T12:55:00Z,1.85, 36480.00
2020-04-20T13:25:00Z,1.89, 36480.00
2020-04-20T13:55:00Z,1.82, 36288.00
2020-04-20T14:25:00Z,1.83, 36608.00
2020-04-20T14:55:00Z,1.85, 36096.00
2020-04-20T15:25:00Z,1.82, 36352.00
2020-04-20T15:55:00Z,1.86, 36160.00
2020-04-20T16:25:00Z,1.80, 36544.00
2020-04-20T16:55:00Z,1.82, 35520.00
2020-04-20T17:25:00Z,1.83, 36480.00
2020-04-20T17:55:00Z,1.82, 35584.00
2020-04-20T18:25:00Z,1.82, 35648.00
2020-04-20T18:55:00Z,1.83, 35712.00
2020-04-20T19:25:00Z,1.83, 36224.00
2020-04-20T19:55:00Z,1.79, 35840.00
2020-04-20T20:25:00Z,1.79, 35264.00
2020-04-20T20:55:00Z,1.79, 35392.00
2020-04-20T21:25:00Z,1.81, 35712.00
2020-04-20T21:55:00Z,1.80, 35584.00
2020-04-20T22:25:00Z,1.80, 35712.00
2020-04-20T22:55:00Z,1.80, 35776.00
2020-04-20T23:25:00Z,1.83, 35520.00
2020-04-20T23:55:00Z,1.80, 35392.00
