Timestamp, Moisture (V), Moisture (Raw ADC)
2020-04-19T00:25:00Z,1.93, 38528.00
2020-04-19T00:55:00Z,1.91, 37952.00
2020-04-19T01:25:00Z,1.92, 38400.00
2020-04-19T01:55:00Z,1.93, 37888.00
2020-04-19T02:25:00Z,1.91, 38016.00
2020-04-19T02:55:00Z,1.89, 37888.00
2020-04-19T03:25:00Z,1.89, 37824.00
2020-04-19T03:55:00Z,1.90, 37440.00
2020-04-19T04:25:00Z,1.87, 37696.00
2020-04-19T04:55:00Z,1.91, 37696.00
2020-04-19T05:25:00Z,1.93, 36928.00
2020-04-19T05:55:00Z,1.89, 37696.00
2020-04-19T06:25:00Z,1.91, 37120.00
2020-04-19T06:55:00Z,1.89, 37888.00
2020-04-19T07:25:00Z,1.94, 37824.00
2020-04-19T07:55:00Z,1.89, 37888.00
2020-04-19T08:25:00Z,1.90, 38144.00
2020-04-19T08:55:00Z,1.90, 37568.00
2020-04-19T09:25:00Z,1.89, 37568.00
2020-04-19T09:55:00Z,1.89, 37440.00
2020-04-19T10:25:00Z,1.91, 37696.00
2020-04-19T10:55:00Z,1.88, 37376.00
2020-04-19T11:25:00Z,1.87, 37568.00
2020-04-19T11:55:00Z,1.89, 37440.00
2020-04-19T12:25:00Z,1.87, 37248.00
2020-04-19T12:55:00Z,1.87, 37504.00
2020-04-19T13:25:00Z,1.86, 37312.00
2020-04-19T13:55:00Z,1.86, 37376.00
2020-04-19T14:25:00Z,1.85, 37312.00
2020-04-19T14:55:00Z,1.87, 36992.00
2020-04-19T15:25:00Z,1.86, 37248.00
2020-04-19T15:55:00Z,1.87, 37376.00
2020-04-19T16:25:00Z,1.85, 37376.00
2020-04-19T16:55:00Z,1.87, 37376.00
2020-04-19T17:25:00Z,1.85, 37056.00
2020-04-19T17:55:00Z,1.89, 36928.00
2020-04-19T18:25:00Z,1.87, 36992.00
2020-04-19T18:55:00Z,1.86, 37248.00
2020-04-19T19:25:00Z,1.86, 37376.00
2020-04-19T19:55:00Z,1.88, 37056.00
2020-04-19T20:25:00Z,1.87, 36352.00
2020-04-19T20:55:00Z,1.85, 36736.00
2020-04-19T21:25:00Z,1.85, 36864.00
2020-04-19T21:55:00Z,1.87, 36992.00
2020-04-19T22:25:00Z,1.87, 36864.00
2020-04-19T22:55:00Z,1.85, 37056.00
2020-04-19T23:25:00Z,1.88, 36672.00
2020-04-19T23:55:00Z,1.86, 36864.00
