Timestamp, Moisture (V), Moisture (Raw ADC)
2020-04-13T00:25:00Z,2.02, 40192.00
2020-04-13T00:55:00Z,2.02, 40256.00
2020-04-13T01:25:00Z,2.04, 40064.00
2020-04-13T01:55:00Z,2.01, 40128.00
2020-04-13T02:25:00Z,2.00, 39872.00
2020-04-13T02:55:00Z,2.01, 39808.00
2020-04-13T03:25:00Z,2.00, 40000.00
2020-04-13T03:55:00Z,2.01, 39744.00
2020-04-13T04:25:00Z,2.00, 39744.00
2020-04-13T04:55:00Z,2.01, 39808.00
2020-04-13T05:25:00Z,2.00, 39744.00
2020-04-13T05:55:00Z,2.00, 39680.00
2020-04-13T06:25:00Z,1.99, 39488.00
2020-04-13T06:55:00Z,2.00, 39424.00
2020-04-13T07:25:00Z,1.99, 40000.00
2020-04-13T07:55:00Z,1.99, 39424.00
2020-04-13T08:25:00Z,1.98, 39488.00
2020-04-13T08:55:00Z,1.98, 39232.00
2020-04-13T09:25:00Z,1.98, 39488.00
2020-04-13T09:55:00Z,1.98, 39424.00
2020-04-13T10:25:00Z,1.99, 39296.00
2020-04-13T10:55:00Z,1.99, 39424.00
2020-04-13T11:25:00Z,1.99, 39360.00
2020-04-13T11:55:00Z,1.98, 39488.00
2020-04-13T12:25:00Z,1.99, 39424.00
2020-04-13T12:55:00Z,1.99, 39296.00
2020-04-13T13:25:00Z,1.99, 39360.00
2020-04-13T13:55:00Z,1.99, 39296.00
2020-04-13T14:25:00Z,1.99, 39360.00
2020-04-13T14:55:00Z,1.98, 39424.00
2020-04-13T15:25:00Z,1.99, 39424.00
2020-04-13T15:55:00Z,1.98, 39360.00
2020-04-13T16:25:00Z,1.99, 39360.00
2020-04-13T16:55:00Z,1.98, 39232.00
2020-04-13T17:25:00Z,1.98, 39104.00
2020-04-13T17:55:00Z,1.98, 39168.00
2020-04-13T18:25:00Z,1.98, 39168.00
2020-04-13T18:55:00Z,1.98, 39424.00
2020-04-13T19:25:00Z,1.98, 39296.00
2020-04-13T19:55:00Z,1.97, 39104.00
2020-04-13T20:25:00Z,1.97, 38976.00
2020-04-13T20:55:00Z,1.96, 38912.00
2020-04-13T21:25:00Z,1.96, 38912.00
2020-04-13T21:55:00Z,1.97, 38848.00
2020-04-13T22:25:00Z,1.97, 39040.00
2020-04-13T22:55:00Z,1.97, 39040.00
2020-04-13T23:25:00Z,1.97, 39168.00
2020-04-13T23:55:00Z,1.97, 39168.00
