Timestamp, Moisture (V), Moisture (Raw ADC)
2020-05-23T00:00:00Z,1.75, 35072.00
2020-05-23T00:05:00Z,1.75, 34752.00
2020-05-23T00:10:00Z,1.73, 34624.00
2020-05-23T00:15:00Z,1.75, 34944.00
2020-05-23T00:20:00Z,1.75, 34816.00
2020-05-23T00:25:00Z,1.78, 34432.00
2020-05-23T00:30:00Z,1.77, 34816.00
2020-05-23T00:35:00Z,1.76, 34432.00
2020-05-23T00:40:00Z,1.76, 35200.00
2020-05-23T00:45:00Z,1.77, 35392.00
2020-05-23T00:50:00Z,1.77, 35264.00
2020-05-23T00:55:00Z,1.78, 35072.00
2020-05-23T01:00:00Z,1.78, 35200.00
2020-05-23T01:05:00Z,1.77, 35264.00
2020-05-23T01:10:00Z,1.77, 35072.00
2020-05-23T01:15:00Z,1.78, 34944.00
2020-05-23T01:20:00Z,1.77, 35200.00
2020-05-23T01:25:00Z,1.77, 34688.00
2020-05-23T01:30:00Z,1.77, 35328.00
2020-05-23T01:35:00Z,1.76, 35264.00
2020-05-23T01:40:00Z,1.77, 35200.00
2020-05-23T01:45:00Z,1.77, 35264.00
2020-05-23T01:50:00Z,1.78, 35840.00
2020-05-23T01:55:00Z,1.76, 35264.00
2020-05-23T02:00:00Z,1.76, 35072.00
2020-05-23T02:05:00Z,1.79, 35008.00
2020-05-23T02:10:00Z,1.77, 34816.00
2020-05-23T02:15:00Z,1.77, 35008.00
2020-05-23T02:20:00Z,1.78, 34944.00
2020-05-23T02:25:00Z,1.77, 35072.00
2020-05-23T02:30:00Z,1.77, 35456.00
2020-05-23T02:35:00Z,1.77, 34880.00
2020-05-23T02:40:00Z,1.79, 35712.00
2020-05-23T02:45:00Z,1.82, 36096.00
2020-05-23T02:50:00Z,1.85, 36032.00
2020-05-23T02:55:00Z,1.80, 36032.00
2020-05-23T03:00:00Z,1.82, 36352.00
2020-05-23T03:05:00Z,1.83, 36224.00
2020-05-23T03:10:00Z,1.84, 36224.00
2020-05-23T03:15:00Z,1.81, 36288.00
2020-05-23T03:20:00Z,1.80, 36352.00
2020-05-23T03:25:00Z,1.83, 36288.00
2020-05-23T03:30:00Z,1.83, 35648.00
2020-05-23T03:35:00Z,1.80, 36224.00
2020-05-23T03:40:00Z,1.83, 36096.00
2020-05-23T03:45:00Z,1.82, 36736.00
2020-05-23T03:50:00Z,1.84, 36288.00
2020-05-23T03:55:00Z,1.84, 37120.00
2020-05-23T04:00:00Z,1.81, 36096.00
2020-05-23T04:05:00Z,1.83, 36032.00
2020-05-23T04:10:00Z,1.81, 36032.00
2020-05-23T04:15:00Z,1.84, 36096.00
2020-05-23T04:20:00Z,1.82, 36032.00
2020-05-23T04:25:00Z,1.83, 36288.00
2020-05-23T04:30:00Z,1.82, 35712.00
2020-05-23T04:35:00Z,1.79, 36352.00
2020-05-23T04:40:00Z,1.81, 35904.00
2020-05-23T04:45:00Z,1.83, 36224.00
2020-05-23T04:50:00Z,1.82, 36224.00
2020-05-23T04:55:00Z,1.82, 36352.00
2020-05-23T05:00:00Z,1.83, 36096.00
2020-05-23T05:05:00Z,1.80, 35968.00
2020-05-23T05:10:00Z,1.79, 36160.00
2020-05-23T05:15:00Z,1.83, 35584.00
2020-05-23T05:20:00Z,1.84, 36096.00
2020-05-23T05:25:00Z,1.82, 35712.00
2020-05-23T05:30:00Z,1.83, 35776.00
2020-05-23T05:35:00Z,1.82, 36096.00
2020-05-23T05:40:00Z,1.80, 35840.00
2020-05-23T05:45:00Z,1.81, 36288.00
2020-05-23T05:50:00Z,1.82, 36288.00
2020-05-23T05:55:00Z,1.82, 35712.00
2020-05-23T06:00:00Z,1.80, 36096.00
2020-05-23T06:05:00Z,1.82, 36352.00
2020-05-23T06:10:00Z,1.82, 35968.00
2020-05-23T06:15:00Z,1.80, 35904.00
2020-05-23T06:20:00Z,1.82, 36032.00
2020-05-23T06:25:00Z,1.83, 35968.00
2020-05-23T06:30:00Z,1.80, 36096.00
2020-05-23T06:35:00Z,1.80, 36288.00
2020-05-23T06:40:00Z,1.80, 35712.00
2020-05-23T06:45:00Z,1.82, 35840.00
2020-05-23T06:50:00Z,1.81, 35968.00
2020-05-23T06:55:00Z,1.79, 35712.00
2020-05-23T07:00:00Z,1.80, 35840.00
2020-05-23T07:05:00Z,1.82, 35840.00
2020-05-23T07:10:00Z,1.82, 35904.00
2020-05-23T07:15:00Z,1.81, 35904.00
2020-05-23T07:20:00Z,1.80, 36032.00
2020-05-23T07:25:00Z,1.79, 35968.00
2020-05-23T07:30:00Z,1.80, 35584.00
2020-05-23T07:35:00Z,1.80, 36096.00
2020-05-23T07:40:00Z,1.80, 35968.00
2020-05-23T07:45:00Z,1.81, 35584.00
2020-05-23T07:50:00Z,1.80, 35968.00
2020-05-23T07:55:00Z,1.80, 35648.00
2020-05-23T08:00:00Z,1.81, 34944.00
2020-05-23T08:05:00Z,1.83, 35712.00
2020-05-23T08:10:00Z,1.81, 35520.00
2020-05-23T08:15:00Z,1.78, 35840.00
2020-05-23T08:20:00Z,1.79, 36352.00
2020-05-23T08:25:00Z,1.82, 36224.00
2020-05-23T08:30:00Z,1.80, 35712.00
