Timestamp, Moisture (V), Moisture (Raw ADC)
2020-05-25T00:00:00Z,1.80, 35968.00
2020-05-25T00:05:00Z,1.80, 36224.00
2020-05-25T00:10:00Z,1.80, 35648.00
2020-05-25T00:15:00Z,1.82, 35840.00
2020-05-25T00:20:00Z,1.79, 36160.00
2020-05-25T00:25:00Z,1.79, 36032.00
2020-05-25T00:30:00Z,1.80, 36224.00
2020-05-25T00:35:00Z,1.81, 35648.00
2020-05-25T00:40:00Z,1.81, 36480.00
2020-05-25T00:45:00Z,1.82, 35840.00
2020-05-25T00:50:00Z,1.81, 36032.00
2020-05-25T00:55:00Z,1.80, 36032.00
2020-05-25T01:00:00Z,1.81, 36032.00
2020-05-25T01:05:00Z,1.79, 35776.00
2020-05-25T01:10:00Z,1.79, 36800.00
2020-05-25T01:15:00Z,1.80, 35712.00
2020-05-25T01:20:00Z,1.82, 35712.00
2020-05-25T01:25:00Z,1.81, 35840.00
2020-05-25T01:30:00Z,1.81, 35776.00
2020-05-25T01:35:00Z,1.80, 35584.00
2020-05-25T01:40:00Z,1.80, 36096.00
2020-05-25T01:45:00Z,1.79, 35456.00
2020-05-25T01:50:00Z,1.80, 35584.00
2020-05-25T01:55:00Z,1.80, 35904.00
2020-05-25T02:00:00Z,1.80, 36032.00
2020-05-25T02:05:00Z,1.82, 35776.00
2020-05-25T02:10:00Z,1.82, 35840.00
2020-05-25T02:15:00Z,1.80, 35648.00
2020-05-25T02:20:00Z,1.83, 35840.00
2020-05-25T02:25:00Z,1.80, 35584.00
2020-05-25T02:30:00Z,1.81, 36096.00
2020-05-25T02:35:00Z,1.80, 35456.00
2020-05-25T02:40:00Z,1.80, 35328.00
2020-05-25T02:45:00Z,1.81, 35968.00
2020-05-25T02:50:00Z,1.81, 35840.00
2020-05-25T02:55:00Z,1.82, 35904.00
2020-05-25T03:00:00Z,1.78, 35648.00
2020-05-25T03:05:00Z,1.80, 35840.00
2020-05-25T03:10:00Z,1.80, 35904.00
2020-05-25T03:15:00Z,1.79, 35968.00
2020-05-25T03:20:00Z,1.80, 35712.00
2020-05-25T03:25:00Z,1.80, 35392.00
2020-05-25T03:30:00Z,1.79, 35136.00
2020-05-25T03:35:00Z,1.80, 36032.00
2020-05-25T03:40:00Z,1.80, 35392.00
2020-05-25T03:45:00Z,1.77, 35840.00
2020-05-25T03:50:00Z,1.78, 35776.00
2020-05-25T03:55:00Z,1.82, 35520.00
2020-05-25T04:00:00Z,1.80, 35648.00
2020-05-25T04:05:00Z,1.80, 35456.00
2020-05-25T04:10:00Z,1.80, 35648.00
2020-05-25T04:15:00Z,1.79, 35904.00
2020-05-25T04:20:00Z,1.79, 35840.00
2020-05-25T04:25:00Z,1.81, 35584.00
2020-05-25T04:30:00Z,1.78, 36032.00
2020-05-25T04:35:00Z,1.79, 35456.00
2020-05-25T04:40:00Z,1.78, 35712.00
2020-05-25T04:45:00Z,1.79, 35328.00
2020-05-25T04:50:00Z,1.79, 35712.00
2020-05-25T04:55:00Z,1.81, 36096.00
2020-05-25T05:00:00Z,1.80, 35712.00
2020-05-25T05:05:00Z,1.80, 35584.00
2020-05-25T05:10:00Z,1.80, 35840.00
2020-05-25T05:15:00Z,1.80, 35584.00
2020-05-25T05:20:00Z,1.80, 35520.00
2020-05-25T05:25:00Z,1.80, 35648.00
2020-05-25T05:30:00Z,1.80, 34944.00
2020-05-25T05:35:00Z,1.80, 35328.00
2020-05-25T05:40:00Z,1.80, 35584.00
2020-05-25T05:45:00Z,1.78, 35520.00
2020-05-25T05:50:00Z,1.79, 35456.00
2020-05-25T05:55:00Z,1.79, 35392.00
2020-05-25T06:00:00Z,1.79, 35712.00
2020-05-25T06:05:00Z,1.79, 35840.00
2020-05-25T06:10:00Z,1.79, 35328.00
2020-05-25T06:15:00Z,1.80, 35264.00
2020-05-25T06:20:00Z,1.79, 35328.00
2020-05-25T06:25:00Z,1.80, 35712.00
2020-05-25T06:30:00Z,1.79, 35520.00
2020-05-25T06:35:00Z,1.77, 35456.00
