Timestamp, Moisture (V), Moisture (Raw ADC)
2020-05-29T00:00:00Z,1.73, 34048.00
2020-05-29T00:05:00Z,1.72, 34688.00
2020-05-29T00:10:00Z,1.73, 34176.00
2020-05-29T00:15:00Z,1.74, 34304.00
2020-05-29T00:20:00Z,1.71, 34112.00
2020-05-29T00:25:00Z,1.72, 34048.00
2020-05-29T00:30:00Z,1.75, 34688.00
2020-05-29T00:35:00Z,1.73, 34624.00
2020-05-29T00:40:00Z,1.74, 34304.00
2020-05-29T00:45:00Z,1.71, 34624.00
2020-05-29T00:50:00Z,1.75, 34304.00
2020-05-29T00:55:00Z,1.75, 34240.00
2020-05-29T01:00:00Z,1.73, 35328.00
2020-05-29T01:05:00Z,1.72, 34816.00
2020-05-29T01:10:00Z,1.77, 34368.00
2020-05-29T01:15:00Z,1.72, 34048.00
2020-05-29T01:20:00Z,1.73, 34560.00
2020-05-29T01:25:00Z,1.75, 34304.00
2020-05-29T01:30:00Z,1.75, 34432.00
2020-05-29T01:35:00Z,1.73, 34176.00
2020-05-29T01:40:00Z,1.73, 34304.00
2020-05-29T01:45:00Z,1.73, 34304.00
2020-05-29T01:50:00Z,1.71, 34048.00
2020-05-29T01:55:00Z,1.75, 34368.00
2020-05-29T02:00:00Z,1.75, 34368.00
2020-05-29T02:05:00Z,1.74, 34176.00
2020-05-29T02:10:00Z,1.71, 34176.00
2020-05-29T02:15:00Z,1.72, 34496.00
2020-05-29T02:20:00Z,1.75, 34048.00
2020-05-29T02:25:00Z,1.73, 33920.00
2020-05-29T02:30:00Z,1.72, 34560.00
2020-05-29T02:35:00Z,1.73, 34176.00
2020-05-29T02:40:00Z,1.72, 34560.00
2020-05-29T02:45:00Z,1.76, 34304.00
2020-05-29T02:50:00Z,1.73, 34176.00
2020-05-29T02:55:00Z,1.72, 34112.00
2020-05-29T03:00:00Z,1.74, 34176.00
2020-05-29T03:05:00Z,1.75, 33856.00
2020-05-29T03:10:00Z,1.74, 34176.00
2020-05-29T03:15:00Z,1.73, 33792.00
