Timestamp, Moisture (V), Moisture (Raw ADC)
2020-04-30T00:00:00Z,1.91, 38144.00
2020-04-30T00:30:00Z,1.91, 38144.00
2020-04-30T01:00:00Z,1.90, 37632.00
2020-04-30T01:30:00Z,1.92, 37696.00
2020-04-30T02:00:00Z,1.90, 37888.00
2020-04-30T02:30:00Z,1.89, 37824.00
2020-04-30T03:00:00Z,1.91, 37696.00
2020-04-30T03:30:00Z,1.89, 37632.00
2020-04-30T04:00:00Z,1.89, 37568.00
2020-04-30T04:30:00Z,1.89, 37824.00
2020-04-30T05:00:00Z,1.90, 37760.00
2020-04-30T05:30:00Z,1.89, 37632.00
2020-04-30T06:00:00Z,1.91, 37632.00
2020-04-30T06:30:00Z,1.89, 37696.00
2020-04-30T07:00:00Z,1.90, 37888.00
2020-04-30T07:30:00Z,1.89, 37760.00
2020-04-30T08:00:00Z,1.90, 37888.00
2020-04-30T08:30:00Z,1.89, 37696.00
2020-04-30T09:00:00Z,1.90, 37760.00
2020-04-30T09:30:00Z,1.89, 37824.00
2020-04-30T10:00:00Z,1.89, 37632.00
2020-04-30T10:30:00Z,1.90, 37568.00
2020-04-30T11:00:00Z,1.89, 37888.00
2020-04-30T11:30:00Z,1.91, 37888.00
2020-04-30T12:00:00Z,1.89, 37632.00
2020-04-30T12:30:00Z,1.91, 37696.00
2020-04-30T13:00:00Z,1.90, 37696.00
2020-04-30T13:30:00Z,1.90, 37888.00
2020-04-30T14:00:00Z,1.90, 37632.00
2020-04-30T14:30:00Z,1.90, 37696.00
2020-04-30T15:00:00Z,1.90, 37696.00
2020-04-30T15:30:00Z,1.90, 37888.00
2020-04-30T16:00:00Z,1.89, 37760.00
2020-04-30T16:30:00Z,2.02, 40000.00
2020-04-30T17:00:00Z,2.00, 39680.00
2020-04-30T17:30:00Z,1.97, 39168.00
2020-04-30T18:00:00Z,1.95, 38912.00
2020-04-30T18:30:00Z,1.94, 38528.00
2020-04-30T19:00:00Z,2.04, 40384.00
2020-04-30T19:30:00Z,2.00, 39808.00
2020-04-30T20:00:00Z,1.98, 39168.00
2020-04-30T20:30:00Z,1.96, 39168.00
2020-04-30T21:00:00Z,1.95, 38848.00
2020-04-30T21:30:00Z,1.94, 38592.00
2020-04-30T22:00:00Z,1.93, 38336.00
2020-04-30T22:30:00Z,1.92, 38208.00
2020-04-30T23:00:00Z,1.91, 38016.00
2020-04-30T23:30:00Z,1.90, 38016.00
