Timestamp, Moisture (V), Moisture (Raw ADC)
2020-05-12T09:08:00Z,1.84, 36480.00
2020-05-12T09:08:00Z,1.84, 36608.00
2020-05-12T09:10:00Z,1.85, 36480.00
2020-05-12T09:15:00Z,1.83, 36480.00
2020-05-12T09:20:00Z,1.83, 36288.00
2020-05-12T09:25:00Z,1.84, 36352.00
2020-05-12T09:30:00Z,1.83, 36480.00
2020-05-12T09:35:00Z,1.84, 36480.00
2020-05-12T09:40:00Z,1.83, 36544.00
2020-05-12T09:45:00Z,1.86, 36480.00
2020-05-12T09:50:00Z,1.83, 36352.00
2020-05-12T09:55:00Z,1.82, 36416.00
2020-05-12T10:00:00Z,1.83, 36480.00
2020-05-12T10:05:00Z,1.84, 36736.00
2020-05-12T10:10:00Z,1.84, 36352.00
2020-05-12T10:15:00Z,1.84, 36608.00
2020-05-12T10:20:00Z,1.83, 36544.00
2020-05-12T10:25:00Z,1.84, 36416.00
2020-05-12T10:30:00Z,1.84, 36288.00
2020-05-12T10:35:00Z,1.84, 36480.00
2020-05-12T10:40:00Z,1.84, 36416.00
2020-05-12T10:45:00Z,1.84, 36544.00
2020-05-12T10:50:00Z,1.84, 36352.00
2020-05-12T10:55:00Z,1.84, 36352.00
2020-05-12T11:00:00Z,1.85, 36608.00
2020-05-12T11:05:00Z,1.84, 36416.00
2020-05-12T11:10:00Z,1.84, 36608.00
2020-05-12T11:15:00Z,1.84, 36416.00
2020-05-12T11:20:00Z,1.84, 36416.00
2020-05-12T11:25:00Z,1.84, 36544.00
2020-05-12T11:30:00Z,1.83, 36352.00
2020-05-12T11:35:00Z,1.84, 36352.00
2020-05-12T11:40:00Z,1.83, 36480.00
2020-05-12T11:45:00Z,1.83, 36608.00
2020-05-12T11:50:00Z,1.84, 36416.00
2020-05-12T11:55:00Z,1.83, 36416.00
2020-05-12T12:00:00Z,1.83, 36352.00
2020-05-12T12:05:00Z,1.84, 36352.00
2020-05-12T12:10:00Z,1.84, 36416.00
2020-05-12T12:15:00Z,1.83, 36480.00
2020-05-12T12:20:00Z,1.84, 36160.00
2020-05-12T12:25:00Z,1.84, 36416.00
2020-05-12T12:30:00Z,1.84, 36608.00
2020-05-12T12:35:00Z,1.84, 36864.00
2020-05-12T12:40:00Z,1.84, 36608.00
2020-05-12T12:45:00Z,1.84, 36480.00
2020-05-12T12:50:00Z,1.84, 36864.00
2020-05-12T12:55:00Z,1.83, 36608.00
2020-05-12T13:00:00Z,1.84, 36416.00
2020-05-12T13:05:00Z,1.83, 36352.00
2020-05-12T13:10:00Z,1.84, 36480.00
2020-05-12T13:15:00Z,1.84, 36416.00
2020-05-12T13:20:00Z,1.82, 36480.00
2020-05-12T13:25:00Z,1.84, 36608.00
2020-05-12T13:30:00Z,1.84, 36480.00
2020-05-12T13:35:00Z,1.85, 36608.00
2020-05-12T13:40:00Z,1.83, 36416.00
2020-05-12T13:45:00Z,1.84, 36480.00
2020-05-12T13:50:00Z,1.84, 36608.00
2020-05-12T13:55:00Z,1.85, 36608.00
2020-05-12T14:00:00Z,1.84, 36608.00
2020-05-12T14:05:00Z,1.85, 36608.00
2020-05-12T14:10:00Z,1.84, 36480.00
2020-05-12T14:15:00Z,1.84, 36672.00
