Timestamp, Moisture (V), Moisture (Raw ADC)
2020-04-29T13:56:00Z,1.83, 36480.00
2020-04-29T14:08:00Z,2.02, 40064.00
2020-04-29T17:38:00Z,1.93, 38272.00
2020-04-29T17:39:00Z,1.91, 38144.00
2020-04-29T17:40:00Z,1.93, 38464.00
2020-04-29T17:41:00Z,1.92, 38144.00
2020-04-29T17:42:00Z,1.93, 38208.00
2020-04-29T17:43:00Z,1.92, 38144.00
2020-04-29T18:00:00Z,1.92, 37952.00
2020-04-29T18:30:00Z,1.93, 37952.00
2020-04-29T19:00:00Z,1.92, 38208.00
2020-04-29T19:30:00Z,1.92, 38208.00
2020-04-29T20:00:00Z,1.90, 37696.00
2020-04-29T20:30:00Z,1.89, 37760.00
2020-04-29T21:00:00Z,1.91, 37632.00
2020-04-29T21:30:00Z,1.90, 37760.00
2020-04-29T22:00:00Z,1.90, 37760.00
2020-04-29T22:30:00Z,1.90, 37888.00
2020-04-29T23:00:00Z,1.89, 37696.00
2020-04-29T23:30:00Z,1.90, 37696.00
