Timestamp, Moisture (V), Moisture (Raw ADC)
2020-04-16T00:25:00Z,2.00, 39872.00
2020-04-16T00:55:00Z,2.01, 39808.00
2020-04-16T01:25:00Z,2.00, 39616.00
2020-04-16T01:55:00Z,2.00, 39680.00
2020-04-16T02:25:00Z,2.00, 39488.00
2020-04-16T02:55:00Z,2.00, 39616.00
2020-04-16T03:25:00Z,1.99, 39808.00
2020-04-16T03:55:00Z,1.99, 39360.00
2020-04-16T04:25:00Z,1.99, 39552.00
2020-04-16T04:55:00Z,1.99, 39552.00
2020-04-16T05:25:00Z,2.00, 39488.00
2020-04-16T05:55:00Z,1.98, 39488.00
2020-04-16T06:25:00Z,1.99, 39424.00
2020-04-16T06:55:00Z,2.00, 39488.00
2020-04-16T07:25:00Z,2.00, 39360.00
2020-04-16T07:55:00Z,1.99, 39488.00
2020-04-16T08:25:00Z,1.99, 39744.00
2020-04-16T08:55:00Z,1.99, 39488.00
2020-04-16T09:25:00Z,2.00, 39680.00
2020-04-16T09:55:00Z,2.00, 39936.00
2020-04-16T10:25:00Z,1.99, 39936.00
2020-04-16T10:55:00Z,2.00, 39424.00
2020-04-16T11:25:00Z,2.00, 39808.00
2020-04-16T11:55:00Z,2.00, 39808.00
2020-04-16T12:25:00Z,2.01, 39680.00
2020-04-16T12:55:00Z,1.99, 39872.00
2020-04-16T13:25:00Z,1.99, 39744.00
2020-04-16T13:55:00Z,2.00, 39872.00
2020-04-16T14:25:00Z,2.00, 39936.00
2020-04-16T14:55:00Z,2.02, 39808.00
2020-04-16T15:25:00Z,2.00, 39744.00
2020-04-16T15:55:00Z,2.00, 39808.00
2020-04-16T16:25:00Z,2.02, 40000.00
2020-04-16T16:55:00Z,2.02, 39744.00
2020-04-16T17:25:00Z,2.00, 39936.00
2020-04-16T17:55:00Z,2.00, 39808.00
2020-04-16T18:25:00Z,2.00, 39808.00
2020-04-16T18:55:00Z,2.01, 39680.00
2020-04-16T19:25:00Z,2.00, 39808.00
2020-04-16T19:55:00Z,2.00, 39936.00
2020-04-16T20:25:00Z,2.00, 39744.00
2020-04-16T20:55:00Z,2.00, 39808.00
2020-04-16T21:25:00Z,1.99, 39616.00
2020-04-16T21:55:00Z,1.99, 39552.00
2020-04-16T22:25:00Z,1.99, 39552.00
2020-04-16T22:55:00Z,1.99, 39424.00
2020-04-16T23:25:00Z,1.99, 39424.00
2020-04-16T23:55:00Z,1.99, 39424.00
