Timestamp, Moisture (V), Moisture (Raw ADC)
2020-05-26T00:00:00Z,1.78, 35392.00
2020-05-26T00:05:00Z,1.79, 35264.00
2020-05-26T00:10:00Z,1.80, 35264.00
2020-05-26T00:15:00Z,1.78, 35200.00
2020-05-26T00:20:00Z,1.76, 35520.00
2020-05-26T00:25:00Z,1.79, 35456.00
2020-05-26T00:30:00Z,1.78, 35264.00
2020-05-26T00:35:00Z,1.79, 35136.00
2020-05-26T00:40:00Z,1.77, 35328.00
2020-05-26T00:45:00Z,1.78, 35136.00
2020-05-26T00:50:00Z,1.75, 35520.00
2020-05-26T00:55:00Z,1.78, 34944.00
2020-05-26T01:00:00Z,1.76, 36096.00
2020-05-26T01:05:00Z,1.78, 35392.00
2020-05-26T01:10:00Z,1.76, 35328.00
2020-05-26T01:15:00Z,1.79, 34816.00
2020-05-26T01:20:00Z,1.76, 35200.00
2020-05-26T01:25:00Z,1.80, 34944.00
2020-05-26T01:30:00Z,1.77, 35008.00
2020-05-26T01:35:00Z,1.80, 35200.00
2020-05-26T01:40:00Z,1.77, 35200.00
2020-05-26T01:45:00Z,1.78, 35328.00
2020-05-26T01:50:00Z,1.79, 35520.00
2020-05-26T01:55:00Z,1.80, 35136.00
2020-05-26T02:00:00Z,1.78, 35264.00
2020-05-26T02:05:00Z,1.78, 35456.00
2020-05-26T02:10:00Z,1.77, 35328.00
2020-05-26T02:15:00Z,1.77, 35584.00
2020-05-26T02:20:00Z,1.79, 35392.00
2020-05-26T02:25:00Z,1.80, 35392.00
2020-05-26T02:30:00Z,1.76, 35328.00
2020-05-26T02:35:00Z,1.79, 35200.00
2020-05-26T02:40:00Z,1.79, 34880.00
2020-05-26T02:45:00Z,1.77, 35328.00
2020-05-26T02:50:00Z,1.78, 35264.00
2020-05-26T02:55:00Z,1.77, 35456.00
2020-05-26T03:00:00Z,1.77, 35392.00
2020-05-26T03:05:00Z,1.80, 35712.00
2020-05-26T03:10:00Z,1.78, 35520.00
2020-05-26T03:15:00Z,1.80, 35136.00
2020-05-26T03:20:00Z,1.79, 35456.00
2020-05-26T03:25:00Z,1.79, 34816.00
2020-05-26T03:30:00Z,1.80, 35328.00
2020-05-26T03:35:00Z,1.79, 34816.00
2020-05-26T03:40:00Z,1.78, 35328.00
2020-05-26T03:45:00Z,1.77, 35456.00
2020-05-26T03:50:00Z,1.78, 35328.00
2020-05-26T03:55:00Z,1.80, 35392.00
2020-05-26T04:00:00Z,1.75, 35456.00
2020-05-26T04:05:00Z,1.77, 35648.00
2020-05-26T04:10:00Z,1.79, 35328.00
2020-05-26T04:15:00Z,1.78, 35328.00
2020-05-26T04:20:00Z,1.79, 35264.00
2020-05-26T04:25:00Z,1.78, 35200.00
2020-05-26T04:30:00Z,1.76, 35456.00
2020-05-26T04:35:00Z,1.75, 35712.00
2020-05-26T04:40:00Z,1.79, 35456.00
2020-05-26T04:45:00Z,1.80, 35136.00
2020-05-26T04:50:00Z,1.80, 35584.00
2020-05-26T04:55:00Z,1.77, 35392.00
2020-05-26T05:00:00Z,1.78, 35328.00
2020-05-26T05:05:00Z,1.79, 35264.00
2020-05-26T05:10:00Z,1.78, 35072.00
2020-05-26T05:15:00Z,1.77, 35328.00
2020-05-26T05:20:00Z,1.80, 34944.00
2020-05-26T05:25:00Z,1.79, 35328.00
2020-05-26T05:30:00Z,1.79, 35648.00
2020-05-26T05:35:00Z,1.78, 35584.00
2020-05-26T05:40:00Z,1.75, 35072.00
2020-05-26T05:45:00Z,1.80, 35584.00
2020-05-26T05:50:00Z,1.79, 35712.00
2020-05-26T05:55:00Z,1.80, 35200.00
2020-05-26T06:00:00Z,1.78, 35072.00
2020-05-26T06:05:00Z,1.79, 35328.00
2020-05-26T06:10:00Z,1.79, 35584.00
2020-05-26T06:15:00Z,1.78, 35584.00
2020-05-26T06:20:00Z,1.78, 35328.00
2020-05-26T06:25:00Z,1.75, 35456.00
2020-05-26T06:30:00Z,1.79, 35456.00
2020-05-26T06:35:00Z,1.78, 35136.00
2020-05-26T06:40:00Z,1.77, 35136.00
2020-05-26T06:45:00Z,1.78, 35328.00
2020-05-26T06:50:00Z,1.80, 35200.00
2020-05-26T06:55:00Z,1.77, 35392.00
2020-05-26T07:00:00Z,1.78, 35328.00
2020-05-26T07:05:00Z,1.80, 34944.00
2020-05-26T07:10:00Z,1.78, 35136.00
2020-05-26T07:15:00Z,1.80, 35008.00
2020-05-26T07:20:00Z,1.80, 35328.00
2020-05-26T07:25:00Z,1.76, 35456.00
2020-05-26T07:30:00Z,1.78, 35200.00
2020-05-26T07:35:00Z,1.77, 35456.00
2020-05-26T07:40:00Z,1.79, 35200.00
2020-05-26T07:45:00Z,1.77, 35200.00
2020-05-26T07:50:00Z,1.77, 35520.00
2020-05-26T07:55:00Z,1.81, 35648.00
2020-05-26T08:00:00Z,1.79, 35072.00
2020-05-26T08:05:00Z,1.79, 35328.00
2020-05-26T08:10:00Z,1.78, 35328.00
2020-05-26T08:15:00Z,1.81, 35328.00
2020-05-26T08:20:00Z,1.76, 35264.00
2020-05-26T08:25:00Z,1.78, 35072.00
2020-05-26T08:30:00Z,1.77, 35520.00
2020-05-26T08:35:00Z,1.77, 36480.00
2020-05-26T08:40:00Z,1.79, 35200.00
2020-05-26T08:45:00Z,1.77, 35392.00
2020-05-26T08:50:00Z,1.78, 35392.00
2020-05-26T08:55:00Z,1.78, 35008.00
2020-05-26T09:00:00Z,1.78, 35072.00
2020-05-26T09:05:00Z,1.79, 35200.00
2020-05-26T09:10:00Z,1.77, 35392.00
2020-05-26T09:15:00Z,1.78, 34688.00
2020-05-26T09:20:00Z,1.78, 35456.00
