Timestamp, Moisture (V), Moisture (Raw ADC)
2020-05-17T00:00:00Z,0.26, 5120.00
2020-05-17T00:05:00Z,0.26, 5120.00
2020-05-17T00:10:00Z,0.26, 5120.00
2020-05-17T00:15:00Z,0.26, 5120.00
2020-05-17T00:20:00Z,0.26, 5120.00
2020-05-17T00:25:00Z,0.27, 5376.00
2020-05-17T00:30:00Z,0.27, 5376.00
2020-05-17T00:35:00Z,0.26, 5248.00
2020-05-17T00:40:00Z,0.26, 5248.00
2020-05-17T00:45:00Z,0.26, 5248.00
2020-05-17T00:50:00Z,0.26, 5248.00
2020-05-17T00:55:00Z,0.26, 5248.00
2020-05-17T01:00:00Z,0.26, 5248.00
2020-05-17T01:05:00Z,0.26, 5248.00
2020-05-17T01:10:00Z,0.26, 5248.00
2020-05-17T01:15:00Z,0.26, 5248.00
2020-05-17T01:20:00Z,0.26, 5248.00
2020-05-17T01:25:00Z,0.26, 5248.00
2020-05-17T01:30:00Z,0.26, 5248.00
2020-05-17T01:35:00Z,0.26, 5248.00
2020-05-17T01:40:00Z,0.26, 5248.00
2020-05-17T01:45:00Z,0.26, 5248.00
2020-05-17T01:50:00Z,0.26, 5248.00
2020-05-17T01:55:00Z,0.26, 5248.00
2020-05-17T02:00:00Z,0.26, 5248.00
2020-05-17T02:05:00Z,0.26, 5184.00
2020-05-17T02:10:00Z,0.26, 5248.00
2020-05-17T02:15:00Z,0.26, 5184.00
2020-05-17T02:20:00Z,0.26, 5248.00
2020-05-17T02:25:00Z,0.26, 5248.00
2020-05-17T02:30:00Z,0.26, 5248.00
2020-05-17T02:35:00Z,0.26, 5184.00
2020-05-17T02:40:00Z,0.26, 5184.00
2020-05-17T02:45:00Z,0.26, 5184.00
2020-05-17T02:50:00Z,0.26, 5184.00
2020-05-17T02:55:00Z,0.26, 5184.00
2020-05-17T03:00:00Z,0.26, 5184.00
2020-05-17T03:05:00Z,0.26, 5184.00
2020-05-17T03:10:00Z,0.26, 5184.00
